endpoint_id,endpoint,method,service,version_path,auth_scheme,schema_count,deprecated_flag,tags,seed_source
54,/v1/loans/eligibility,POST,aa-bridge,1,none,0,0,Version 3,walmart.com_item.json
55,/v1/upi/mandate,GET,wealth,1,none,0,0,Version 3,walmart.com_item.json
56,/v3/upi/pay,GET,core-banking,3,oauth2:implicit,2,0,Operations,azure.com_marketplaceordering-Agreements.json
57,/v1/cards/{cardId}/freeze,GET,wealth,1,oauth2:implicit,0,0,,azure.com_marketplaceordering-Agreements.json
58,/v2/cards/{cardId}/freeze,GET,wealth,2,oauth2:implicit,1,0,,azure.com_marketplaceordering-Agreements.json
59,/v1/kyc/video,POST,cards,1,oauth2:implicit,2,0,,azure.com_marketplaceordering-Agreements.json
60,/v1/customers/{customerId}/profile,POST,core-banking,1,oauth2:implicit,2,0,,azure.com_marketplaceordering-Agreements.json
61,/v1/transfers/neft,GET,wealth,1,oauth2:implicit,1,0,,azure.com_marketplaceordering-Agreements.json
62,/v2/cards/{cardId}/freeze,PUT,audit,2,oauth2:implicit,2,0,,azure.com_marketplaceordering-Agreements.json
63,/v1/upi/pay,GET,payments,1,none,1,0,,stackexchange.com.json
64,/v1/customers/{customerId}/documents,GET,core-banking,1,none,1,0,,stackexchange.com.json
65,/v1/aa/data,GET,audit,1,none,1,0,,stackexchange.com.json
66,/v1/customers/{customerId}/profile,GET,loans,1,none,1,0,,stackexchange.com.json
67,/v1/customers/{customerId}/profile,GET,aa-bridge,1,none,1,0,,stackexchange.com.json
68,/v1/loans/apply,GET,aa-bridge,1,none,1,0,,stackexchange.com.json
69,/v2/upi/pay,GET,loans,2,none,1,0,,stackexchange.com.json
70,/v1/cards/{cardId}/limit,GET,audit,1,none,1,0,,stackexchange.com.json
71,/v1/accounts/{accountId}/balance,GET,audit,1,none,1,0,,stackexchange.com.json
72,/v2/cards/{cardId}/freeze,GET,audit,2,none,1,0,,stackexchange.com.json
73,/v1/customers/{customerId}/profile,GET,payments,1,none,1,0,,stackexchange.com.json
74,/v1/accounts/{accountId}/statement,GET,core-banking,1,none,1,0,,stackexchange.com.json
75,/v3/upi/pay,GET,cards,3,none,1,0,,stackexchange.com.json
76,/v2/upi/pay,GET,forex,2,none,1,0,,stackexchange.com.json
77,/v1/loans/{loanId}/repayment,POST,kyc,1,none,0,0,,stackexchange.com.json
78,/v1/customers/{customerId}/preferences,POST,payments,1,none,1,0,,stackexchange.com.json
79,/v1/kyc/pan,GET,notifications,1,none,1,0,,stackexchange.com.json
80,/v1/aa/consent,GET,payments,1,none,1,0,,stackexchange.com.json
81,/v1/accounts/{accountId}/statement,GET,aa-bridge,1,none,1,0,,stackexchange.com.json
82,/v2/cards/{cardId}/freeze,GET,forex,2,none,1,0,,stackexchange.com.json
83,/v1/upi/mandate,GET,forex,1,none,1,0,,stackexchange.com.json
84,/v1/upi/collect,GET,cards,1,none,1,0,,stackexchange.com.json
85,/v1/fd/{depositId}/close,GET,notifications,1,none,1,0,,stackexchange.com.json
86,/v1/loans/{loanId}/repayment,GET,audit,1,none,1,0,,stackexchange.com.json
87,/v1/loans/{loanId}/repayment,GET,payments,1,none,1,0,,stackexchange.com.json
88,/v1/aa/fip/discover,GET,loans,1,none,1,0,,stackexchange.com.json
89,/v1/transfers/imps,GET,aa-bridge,1,none,1,0,,stackexchange.com.json
90,/v3/accounts/{accountId}/balance,GET,forex,3,none,1,0,,stackexchange.com.json
91,/v1/beneficiaries/{beneficiaryId},GET,loans,1,none,1,0,,stackexchange.com.json
92,/v1/upi/pay,GET,core-banking,1,none,1,0,,stackexchange.com.json
93,/v1/notifications/preferences,GET,loans,1,none,1,0,,stackexchange.com.json
94,/v1/loans/{loanId}/schedule,GET,forex,1,none,1,0,,stackexchange.com.json
95,/v3/accounts/{accountId}/balance,GET,notifications,3,none,1,0,,stackexchange.com.json
96,/v1/customers/{customerId}/profile,GET,wealth,1,none,1,0,,stackexchange.com.json
97,/v1/audit/logs,GET,kyc,1,none,1,0,,stackexchange.com.json
98,/v1/audit/logs,GET,kyc,1,none,1,0,,stackexchange.com.json
99,/v1/notifications/preferences,GET,kyc,1,none,1,0,,stackexchange.com.json
100,/v1/cards/{cardId}/limit,GET,forex,1,none,1,0,,stackexchange.com.json
101,/v2/upi/pay,GET,notifications,2,none,1,0,,stackexchange.com.json
102,/v1/loans/{loanId}/schedule,GET,aa-bridge,1,none,1,0,,stackexchange.com.json
103,/v1/upi/mandate,GET,notifications,1,none,1,0,,stackexchange.com.json
104,/v1/aa/consent,GET,kyc,1,none,1,0,,stackexchange.com.json
105,/v1/beneficiaries,GET,forex,1,none,1,0,,stackexchange.com.json
106,/v1/upi/mandate,GET,notifications,1,none,1,0,,stackexchange.com.json
107,/v1/cards/issue,GET,audit,1,none,1,0,,stackexchange.com.json
108,/v1/rd/book,GET,notifications,1,none,1,0,,stackexchange.com.json
109,/v1/accounts/{accountId}/balance,GET,kyc,1,none,1,0,,stackexchange.com.json
110,/v1/kyc/pan,GET,forex,1,none,1,0,,stackexchange.com.json
111,/v1/loans/{loanId}/schedule,GET,forex,1,none,1,0,,stackexchange.com.json
112,/v3/upi/pay,GET,cards,3,none,1,0,,stackexchange.com.json
113,/v1/upi/mandate,GET,aa-bridge,1,none,1,0,,stackexchange.com.json
114,/v1/upi/vpa/verify,GET,audit,1,none,1,0,,stackexchange.com.json
115,/v1/cards/issue,GET,wealth,1,none,1,0,,stackexchange.com.json
116,/v1/transfers/imps,GET,payments,1,none,1,0,,stackexchange.com.json
117,/v1/kyc/video,GET,audit,1,none,1,0,,stackexchange.com.json
118,/v3/accounts/{accountId}/balance,GET,aa-bridge,3,none,1,0,,stackexchange.com.json
119,/v1/forex/quote,GET,kyc,1,none,1,0,,stackexchange.com.json
120,/v3/accounts/{accountId}/balance,GET,payments,3,none,1,0,,stackexchange.com.json
121,/v1/rd/book,GET,cards,1,none,1,0,,stackexchange.com.json
122,/v1/beneficiaries,GET,payments,1,none,1,0,,stackexchange.com.json
123,/v1/loans/{loanId}/repayment,GET,loans,1,none,1,0,,stackexchange.com.json
124,/v1/accounts/{accountId}/transactions,POST,loans,1,none,1,0,,stackexchange.com.json
125,/v1/aa/fip/discover,GET,aa-bridge,1,none,1,0,,stackexchange.com.json
126,/v1/upi/pay,GET,aa-bridge,1,none,1,0,,stackexchange.com.json
127,/v2/transfers/imps,GET,payments,2,none,1,0,,stackexchange.com.json
128,/v1/transfers/swift,GET,audit,1,none,1,0,,stackexchange.com.json
129,/v1/kyc/verify,GET,kyc,1,none,1,0,,stackexchange.com.json
130,/v2/upi/pay,GET,notifications,2,none,1,0,,stackexchange.com.json
131,/v1/forex/quote,GET,core-banking,1,none,1,0,,stackexchange.com.json
132,/v1/aa/data,GET,payments,1,none,1,0,,stackexchange.com.json
133,/v1/aa/data,GET,notifications,1,none,1,0,,stackexchange.com.json
134,/v1/fd/book,GET,notifications,1,none,1,0,,stackexchange.com.json
135,/v1/upi/collect,GET,wealth,1,none,1,0,,stackexchange.com.json
136,/v1/forex/quote,GET,cards,1,none,1,0,,stackexchange.com.json
137,/v1/aa/data,GET,core-banking,1,none,1,0,,stackexchange.com.json
138,/v1/fd/book,GET,wealth,1,none,1,0,,stackexchange.com.json
139,/v2/accounts/{accountId}/balance,GET,aa-bridge,2,none,1,0,,stackexchange.com.json
140,/v1/kyc/pan,GET,notifications,1,none,1,0,,stackexchange.com.json
141,/v3/upi/pay,GET,audit,3,none,1,0,,stackexchange.com.json
142,/v1/cards/{cardId}/freeze,GET,core-banking,1,none,1,0,,stackexchange.com.json
143,/v1/notifications/preferences,GET,aa-bridge,1,none,1,0,,stackexchange.com.json
144,/v1/rd/book,GET,kyc,1,none,1,0,,stackexchange.com.json
145,/v3/upi/pay,GET,notifications,3,none,1,0,,stackexchange.com.json
146,/v1/beneficiaries,GET,notifications,1,none,1,0,,stackexchange.com.json
147,/v2/upi/pay,GET,forex,2,none,1,0,,stackexchange.com.json
148,/v2/transfers/imps,GET,notifications,2,none,1,0,,stackexchange.com.json
149,/v1/beneficiaries,GET,payments,1,none,1,0,,stackexchange.com.json
150,/v1/aa/consent,GET,audit,1,none,1,0,,stackexchange.com.json
151,/v1/beneficiaries/{beneficiaryId},GET,core-banking,1,none,1,0,,stackexchange.com.json
152,/v1/customers/{customerId}/preferences,GET,kyc,1,none,1,0,,stackexchange.com.json
153,/v1/customers/{customerId}/preferences,GET,wealth,1,none,1,0,,stackexchange.com.json
154,/v1/aa/fip/discover,GET,audit,1,none,1,0,,stackexchange.com.json
155,/v2/upi/pay,GET,payments,2,none,1,0,,stackexchange.com.json
156,/v2/accounts/{accountId}/balance,GET,payments,2,none,1,0,,stackexchange.com.json
157,/v1/transfers/swift,GET,payments,1,none,1,0,,stackexchange.com.json
158,/v1/customers/{customerId}/preferences,GET,notifications,1,none,1,0,,stackexchange.com.json
159,/v1/notifications/preferences,GET,notifications,1,none,1,0,,stackexchange.com.json
160,/v1/aa/fip/discover,GET,loans,1,none,1,0,,stackexchange.com.json
161,/v1/aa/fip/discover,GET,audit,1,none,1,0,,stackexchange.com.json
162,/v1/loans/{loanId}/schedule,GET,payments,1,none,1,0,,stackexchange.com.json
163,/v1/accounts/{accountId}/holds,GET,notifications,1,none,1,0,,stackexchange.com.json
164,/v1/audit/logs,GET,core-banking,1,none,1,0,,stackexchange.com.json
165,/v1/upi/collect,GET,audit,1,none,1,0,,stackexchange.com.json
166,/v1/kyc/video,GET,wealth,1,none,1,0,,stackexchange.com.json
167,/v1/customers/{customerId}/documents,GET,notifications,1,none,1,0,,stackexchange.com.json
168,/v1/upi/pay,GET,wealth,1,none,1,0,,stackexchange.com.json
169,/v1/loans/eligibility,GET,aa-bridge,1,none,1,0,,stackexchange.com.json
170,/v1/aa/fip/discover,GET,core-banking,1,none,1,0,,stackexchange.com.json
171,/v1/loans/eligibility,GET,aa-bridge,1,none,1,0,,stackexchange.com.json
172,/v1/kyc/pan,GET,wealth,1,none,1,0,,stackexchange.com.json
173,/v1/loans/{loanId}/schedule,GET,loans,1,none,1,0,,stackexchange.com.json
174,/v1/kyc/video,GET,payments,1,none,1,0,,stackexchange.com.json
175,/v1/loans/apply,GET,payments,1,none,1,0,,stackexchange.com.json
176,/v1/kyc/verify,GET,loans,1,none,1,0,,stackexchange.com.json
177,/v1/beneficiaries/{beneficiaryId},GET,aa-bridge,1,none,1,0,,stackexchange.com.json
178,/v1/forex/book,GET,wealth,1,none,1,0,,stackexchange.com.json
179,/v1/fd/{depositId}/close,GET,kyc,1,none,1,0,,stackexchange.com.json
180,/v1/accounts/{accountId}/transactions,GET,notifications,1,none,1,0,,stackexchange.com.json
181,/v1/upi/collect,GET,forex,1,none,1,0,,stackexchange.com.json
182,/v1/beneficiaries/{beneficiaryId},GET,audit,1,none,1,0,,stackexchange.com.json
183,/v1/kyc/video,GET,cards,1,none,1,0,,stackexchange.com.json
184,/v1/accounts/{accountId}/balance,GET,loans,1,none,1,0,,stackexchange.com.json
185,/v1/beneficiaries/{beneficiaryId},GET,wealth,1,none,1,0,,stackexchange.com.json
186,/v2/cards/{cardId}/freeze,GET,kyc,2,none,1,0,,stackexchange.com.json
187,/v1/customers/{customerId}/profile,POST,core-banking,1,oauth2,2,0,shipment,ebay.com_sell-logistics.json
188,/v1/loans/eligibility,GET,core-banking,1,oauth2,1,0,shipment,ebay.com_sell-logistics.json
189,/v1/loans/apply,POST,core-banking,1,oauth2,1,0,shipment,ebay.com_sell-logistics.json
190,/v1/kyc/verify,GET,aa-bridge,1,oauth2,0,0,shipment,ebay.com_sell-logistics.json
191,/v2/transfers/imps,POST,core-banking,2,oauth2,2,0,shipping_quote,ebay.com_sell-logistics.json
192,/v1/upi/mandate,GET,kyc,1,oauth2,1,0,shipping_quote,ebay.com_sell-logistics.json
193,/v1/forex/book,GET,kyc,1,oauth2,1,0,listing_violation,api.ebay.com_sell-compliance.json
194,/v1/transfers/neft,GET,wealth,1,oauth2,1,0,listing_violation_summary,api.ebay.com_sell-compliance.json
195,/v1/cards/{cardId}/pin,POST,loans,1,oauth2,1,0,listing_violation,api.ebay.com_sell-compliance.json
196,/v3/upi/pay,POST,cards,3,apiKey,5,0,,amazonaws.com_cloudhsm.json
197,/v3/upi/pay,POST,core-banking,3,apiKey,5,0,,amazonaws.com_cloudhsm.json
198,/v1/cards/issue,POST,cards,1,apiKey,5,0,,amazonaws.com_cloudhsm.json
199,/v1/aa/consent,POST,core-banking,1,apiKey,5,0,,amazonaws.com_cloudhsm.json
200,/v1/kyc/video,POST,notifications,1,apiKey,5,0,,amazonaws.com_cloudhsm.json
201,/v1/forex/book,POST,cards,1,apiKey,5,0,,amazonaws.com_cloudhsm.json
202,/v1/loans/eligibility,POST,loans,1,apiKey,5,0,,amazonaws.com_cloudhsm.json
203,/v1/aa/data,POST,forex,1,apiKey,5,0,,amazonaws.com_cloudhsm.json
204,/v1/aa/consent,POST,wealth,1,apiKey,5,0,,amazonaws.com_cloudhsm.json
205,/v3/accounts/{accountId}/balance,POST,cards,3,apiKey,5,0,,amazonaws.com_cloudhsm.json
206,/v1/upi/pay,POST,kyc,1,apiKey,5,0,,amazonaws.com_cloudhsm.json
207,/v1/kyc/video,POST,cards,1,apiKey,5,0,,amazonaws.com_cloudhsm.json
208,/v1/customers/{customerId}/documents,POST,forex,1,apiKey,5,0,,amazonaws.com_cloudhsm.json
209,/v1/kyc/aadhaar,POST,core-banking,1,apiKey,5,0,,amazonaws.com_cloudhsm.json
210,/v1/transfers/neft,POST,loans,1,apiKey,5,0,,amazonaws.com_cloudhsm.json
211,/v1/notifications/preferences,POST,loans,1,apiKey,5,0,,amazonaws.com_cloudhsm.json
212,/v1/transfers/swift,POST,kyc,1,apiKey,5,0,,amazonaws.com_cloudhsm.json
213,/v1/loans/{loanId}/schedule,POST,kyc,1,apiKey,5,0,,amazonaws.com_cloudhsm.json
214,/v2/cards/{cardId}/freeze,POST,notifications,2,apiKey,3,0,,amazonaws.com_cloudhsm.json
215,/v1/loans/{loanId}/schedule,POST,audit,1,apiKey,5,0,,amazonaws.com_cloudhsm.json
216,/v1/upi/mandate,GET,loans,1,oauth2:implicit,2,0,Operations,azure.com_managednetwork-managedNetwork.json
217,/v1/rd/book,GET,payments,1,oauth2:implicit,2,0,ManagedNetworks,azure.com_managednetwork-managedNetwork.json
218,/v1/customers/{customerId}/preferences,GET,notifications,1,oauth2:implicit,2,0,ManagedNetworks,azure.com_managednetwork-managedNetwork.json
219,/v1/kyc/verify,DELETE,loans,1,oauth2:implicit,1,0,ManagedNetworks,azure.com_managednetwork-managedNetwork.json
220,/v1/kyc/verify,GET,aa-bridge,1,oauth2:implicit,2,0,ManagedNetworks,azure.com_managednetwork-managedNetwork.json
221,/v1/aa/consent,PATCH,wealth,1,oauth2:implicit,3,0,ManagedNetworks,azure.com_managednetwork-managedNetwork.json
222,/v1/beneficiaries,PUT,wealth,1,oauth2:implicit,2,0,ManagedNetworks,azure.com_managednetwork-managedNetwork.json
223,/v1/rd/book,GET,payments,1,oauth2:implicit,2,0,ManagedNetworkGroups,azure.com_managednetwork-managedNetwork.json
224,/v1/audit/logs,DELETE,audit,1,oauth2:implicit,1,0,ManagedNetworkGroups,azure.com_managednetwork-managedNetwork.json
225,/v1/beneficiaries/{beneficiaryId},GET,aa-bridge,1,oauth2:implicit,2,0,ManagedNetworkGroups,azure.com_managednetwork-managedNetwork.json
226,/v1/accounts/{accountId}/holds,PUT,aa-bridge,1,oauth2:implicit,2,0,ManagedNetworkGroups,azure.com_managednetwork-managedNetwork.json
227,/v1/loans/{loanId}/schedule,GET,payments,1,oauth2:implicit,2,0,ManagedNetworkPeeringPolicies,azure.com_managednetwork-managedNetwork.json
228,/v1/transfers/neft,DELETE,payments,1,oauth2:implicit,1,0,ManagedNetworkPeeringPolicies,azure.com_managednetwork-managedNetwork.json
229,/v1/beneficiaries/{beneficiaryId},GET,payments,1,oauth2:implicit,2,0,ManagedNetworkPeeringPolicies,azure.com_managednetwork-managedNetwork.json
230,/v1/upi/collect,PUT,core-banking,1,oauth2:implicit,2,0,ManagedNetworkPeeringPolicies,azure.com_managednetwork-managedNetwork.json
231,/v1/transfers/neft,GET,aa-bridge,1,oauth2:implicit,2,0,ScopeAssignments,azure.com_managednetwork-managedNetwork.json
232,/v1/cards/{cardId}/limit,DELETE,forex,1,oauth2:implicit,0,0,ScopeAssignments,azure.com_managednetwork-managedNetwork.json
233,/v1/cards/{cardId}/freeze,GET,loans,1,oauth2:implicit,2,0,ScopeAssignments,azure.com_managednetwork-managedNetwork.json
234,/v1/aa/consent,PUT,payments,1,oauth2:implicit,2,0,ScopeAssignments,azure.com_managednetwork-managedNetwork.json
235,/v3/accounts/{accountId}/balance,POST,aa-bridge,3,oauth2,3,0,orders,paypal_orders.json
236,/v1/fd/{depositId}/close,GET,loans,1,oauth2,1,0,orders,paypal_orders.json
237,/v1/transfers/rtgs,PATCH,notifications,1,oauth2,2,0,orders,paypal_orders.json
238,/v3/upi/pay,POST,loans,3,oauth2,3,0,orders,paypal_orders.json
239,/v1/audit/logs,POST,audit,1,oauth2,3,0,orders,paypal_orders.json
240,/v1/loans/{loanId}/schedule,POST,forex,1,oauth2,3,0,orders,paypal_orders.json
241,/v1/rd/book,POST,kyc,1,oauth2,3,0,orders,paypal_orders.json
242,/v2/transfers/imps,PATCH,aa-bridge,2,oauth2,2,0,trackers,paypal_orders.json
243,/v1/upi/mandate,POST,forex,1,oauth2,3,0,externalcallback,paypal_orders.json
244,/v1/loans/{loanId}/schedule,POST,notifications,1,apiKey,3,0,plaid,plaid.yaml
245,/v3/upi/pay,POST,payments,3,apiKey,3,0,plaid,plaid.yaml
246,/v1/cards/{cardId}/limit,POST,audit,1,apiKey,3,0,plaid,plaid.yaml
247,/v1/upi/vpa/verify,POST,cards,1,apiKey,3,0,plaid,plaid.yaml
248,/v1/loans/apply,POST,wealth,1,apiKey,3,0,plaid,plaid.yaml
249,/v1/loans/eligibility,POST,notifications,1,apiKey,3,0,plaid,plaid.yaml
250,/v1/aa/data,POST,notifications,1,apiKey,3,0,plaid,plaid.yaml
251,/v2/transfers/imps,POST,forex,2,apiKey,3,0,plaid,plaid.yaml
252,/v1/loans/{loanId}/repayment,POST,notifications,1,apiKey,3,0,plaid,plaid.yaml
253,/v1/cards/{cardId}/limit,POST,notifications,1,apiKey,3,0,plaid,plaid.yaml
254,/v1/beneficiaries,POST,loans,1,apiKey,3,0,plaid,plaid.yaml
255,/v1/transfers/rtgs,POST,payments,1,apiKey,3,0,plaid,plaid.yaml
256,/v3/accounts/{accountId}/balance,POST,core-banking,3,apiKey,3,0,plaid,plaid.yaml
257,/v1/rd/book,POST,audit,1,apiKey,3,0,plaid,plaid.yaml
258,/v1/fd/{depositId}/close,POST,kyc,1,apiKey,3,0,plaid,plaid.yaml
259,/v1/kyc/video,POST,kyc,1,apiKey,3,0,plaid,plaid.yaml
260,/v2/transfers/imps,POST,aa-bridge,2,apiKey,3,0,plaid,plaid.yaml
261,/v2/transfers/imps,POST,audit,2,apiKey,3,0,plaid,plaid.yaml
262,/v1/upi/collect,POST,aa-bridge,1,apiKey,3,0,plaid,plaid.yaml
263,/v2/transfers/imps,POST,wealth,2,apiKey,3,0,plaid,plaid.yaml
264,/v1/upi/pay,POST,payments,1,apiKey,3,0,plaid,plaid.yaml
265,/v3/accounts/{accountId}/balance,POST,loans,3,apiKey,3,0,plaid,plaid.yaml
266,/v1/aa/consent,POST,audit,1,apiKey,3,0,plaid,plaid.yaml
267,/v1/accounts/{accountId}/balance,POST,wealth,1,apiKey,3,0,plaid,plaid.yaml
268,/v1/rd/book,POST,cards,1,apiKey,3,0,plaid,plaid.yaml
269,/v1/loans/{loanId}/repayment,POST,audit,1,apiKey,3,0,plaid,plaid.yaml
270,/v1/accounts/{accountId}/statement,POST,wealth,1,apiKey,3,0,plaid,plaid.yaml
271,/v1/transfers/imps,POST,cards,1,apiKey,3,0,plaid,plaid.yaml
272,/v1/forex/quote,POST,loans,1,apiKey,3,0,plaid,plaid.yaml
273,/v1/fd/{depositId}/close,POST,notifications,1,apiKey,3,0,plaid,plaid.yaml
274,/v1/notifications/preferences,POST,loans,1,apiKey,3,0,plaid,plaid.yaml
275,/v1/accounts/{accountId}/statement,POST,cards,1,apiKey,3,0,plaid,plaid.yaml
276,/v1/loans/{loanId}/schedule,POST,audit,1,apiKey,3,0,plaid,plaid.yaml
277,/v1/aa/data,POST,wealth,1,apiKey,3,0,plaid,plaid.yaml
278,/v1/customers/{customerId}/documents,POST,forex,1,apiKey,3,0,plaid,plaid.yaml
279,/v1/forex/quote,POST,cards,1,apiKey,3,0,plaid,plaid.yaml
280,/v1/kyc/verify,POST,audit,1,apiKey,3,0,plaid,plaid.yaml
281,/v1/loans/{loanId}/repayment,POST,kyc,1,apiKey,3,0,plaid,plaid.yaml
282,/v1/upi/mandate,POST,wealth,1,apiKey,3,0,plaid,plaid.yaml
283,/v1/cards/issue,POST,cards,1,apiKey,3,0,plaid,plaid.yaml
284,/v1/upi/pay,POST,wealth,1,apiKey,3,0,plaid,plaid.yaml
285,/v1/cards/{cardId}/freeze,POST,kyc,1,apiKey,3,0,plaid,plaid.yaml
286,/v2/transfers/imps,POST,aa-bridge,2,apiKey,3,0,plaid,plaid.yaml
287,/v1/kyc/pan,POST,aa-bridge,1,apiKey,3,0,plaid,plaid.yaml
288,/v2/transfers/imps,POST,payments,2,apiKey,3,0,plaid,plaid.yaml
289,/v1/rd/book,POST,audit,1,apiKey,3,0,plaid,plaid.yaml
290,/v1/accounts/{accountId}/transactions,POST,loans,1,apiKey,3,0,plaid,plaid.yaml
291,/v1/kyc/pan,POST,cards,1,apiKey,3,0,plaid,plaid.yaml
292,/v3/accounts/{accountId}/balance,POST,audit,3,apiKey,3,0,plaid,plaid.yaml
293,/v1/upi/pay,POST,forex,1,apiKey,3,0,plaid,plaid.yaml
294,/v1/kyc/aadhaar,POST,forex,1,apiKey,3,0,plaid,plaid.yaml
295,/v1/cards/{cardId}/limit,POST,loans,1,apiKey,3,0,plaid,plaid.yaml
