endpoint_id,endpoint,method,service,version_path,auth_scheme,schema_count,deprecated_flag,in_registry,last_seen_days,call_count_7d,auth_fail_rate_7d,p95_latency_ms,last_deploy_days,owner_present,runtime,runtime_version,cve_id,max_cvss,lifecycle_state,is_zombie,is_shadow,risk_score
83,/v1/upi/mandate,GET,forex,1,none,1,1,1,8,495,0.0096,347,596,1,dotnet,8.0,CVE-2024-30045,6.8,deprecated,0,0,32.35
84,/v1/upi/collect,GET,cards,1,http:basic|http:bearer,1,0,1,1,42829,0.0142,269,50,0,nodejs,14.21,CVE-2023-30581,8.8,active,0,0,29.63
85,/v1/fd/{depositId}/close,GET,notifications,1,none,1,0,1,46,84,0.1954,1169,1498,0,python,3.7,CVE-2023-24329,7.5,orphaned,0,0,60.31
86,/internal/loans/{loanId}/repayment,GET,audit,1,none,0,0,0,5,2932,0.3811,604,39,0,springboot,2.7.18,CVE-2023-20860,7.5,orphaned,0,1,95.21
87,/v1/loans/{loanId}/repayment,GET,payments,1,http:basic|http:bearer,1,0,1,2,35618,0.019,393,11,1,dotnet,6.0,CVE-2024-21386,7.5,active,0,0,17.51
88,/v1/aa/fip/discover,GET,loans,1,http:bearer,1,0,1,2,34882,0.0119,91,53,1,nodejs,14.21,CVE-2023-30581,8.8,active,0,0,15.96
89,/v1/transfers/imps,GET,aa-bridge,1,http:bearer,1,0,1,0,46900,0.0107,180,2,1,python,3.11,CVE-2024-0397,5.9,active,0,0,14.81
90,/v3/accounts/{accountId}/balance,GET,forex,3,none,1,0,1,23,81,0.2671,1205,575,0,golang,1.19,CVE-2023-29406,6.5,orphaned,0,0,59.92
91,/v1/beneficiaries/{beneficiaryId},GET,loans,1,apiKey,1,0,1,1,29366,0.0068,66,16,1,python,3.9,CVE-2023-40217,5.3,active,0,0,15.88
92,/v1/upi/pay,GET,core-banking,1,none,1,1,1,1,19113,0.0259,1489,474,0,dotnet,8.0,CVE-2024-30045,6.8,orphaned,1,0,65.87
93,/v1/notifications/preferences,GET,loans,1,oauth2:implicit,1,0,1,0,8262,0.0112,253,38,1,golang,1.19,CVE-2023-29406,6.5,active,0,0,12.19
94,/v1/loans/{loanId}/schedule,GET,forex,1,none,1,1,1,1,17762,0.0927,808,1243,0,golang,1.19,CVE-2023-29406,6.5,orphaned,1,0,74.75
95,/internal/accounts/{accountId}/balance,GET,notifications,3,none,0,0,1,1,1752,0.3502,591,84,0,springboot,3.2.0,CVE-2024-22243,6.1,orphaned,0,1,49.73
96,/v1/customers/{customerId}/profile,GET,wealth,1,http:bearer,1,0,1,1,30024,0.0138,280,18,0,dotnet,6.0,CVE-2024-21386,7.5,active,0,0,32.21
97,/v1/audit/logs,GET,kyc,1,none,1,0,1,65,9,0.2218,741,770,0,python,3.11,CVE-2024-0397,5.9,orphaned,0,0,59.68
98,/v1/audit/logs,GET,kyc,1,http:bearer,1,0,1,0,17908,0.0165,76,3,1,nodejs,18.19,CVE-2024-22019,7.5,active,0,0,15.72
99,/v1/notifications/preferences,GET,kyc,1,http:basic|http:bearer,1,0,1,1,45633,0.0061,246,60,1,python,3.11,CVE-2024-0397,5.9,active,0,0,11.47
100,/v1/cards/{cardId}/limit,GET,forex,1,oauth2:implicit,1,0,1,2,3112,0.0178,205,38,1,springboot,2.7.18,CVE-2023-20860,7.5,active,0,0,9.02
101,/internal/upi/pay,GET,notifications,2,none,0,0,0,0,2257,0.3305,408,60,0,python,3.9,CVE-2023-40217,5.3,orphaned,0,1,82.32
102,/v1/loans/{loanId}/schedule,GET,aa-bridge,1,http:bearer,1,0,1,2,29066,0.0127,291,5,1,python,3.7,CVE-2023-24329,7.5,active,0,0,13.84
103,/v1/upi/mandate,GET,notifications,1,apiKey,1,0,1,0,11039,0.0066,395,31,1,python,3.7,CVE-2023-24329,7.5,active,0,0,11.56
104,/v1/aa/consent,GET,kyc,1,http:basic|http:bearer,1,0,1,1,17041,0.0065,246,55,1,springboot,2.5.0,CVE-2022-22965,9.8,active,0,0,19.6
105,/v1/beneficiaries,GET,forex,1,oauth2:implicit,1,0,1,0,34476,0.0072,295,40,1,springboot,2.5.0,CVE-2022-22965,9.8,active,0,0,22.31
106,/v1/upi/mandate,GET,notifications,1,oauth2:implicit,1,0,1,0,19376,0.0088,397,31,1,golang,1.21,CVE-2024-24784,6.5,active,0,0,23.09
107,/v1/cards/issue,GET,audit,1,none,1,0,1,46,70,0.0534,1035,555,0,springboot,2.7.18,CVE-2023-20860,7.5,orphaned,0,0,53.56
108,/v1/rd/book,GET,notifications,1,http:bearer,1,0,1,0,42948,0.0166,295,59,1,python,3.11,CVE-2024-0397,5.9,active,0,0,14.34
109,/v1/accounts/{accountId}/balance,GET,kyc,1,oauth2:implicit,1,0,1,1,31447,0.0049,322,9,1,golang,1.19,CVE-2023-29406,6.5,active,0,0,12.91
110,/v1/kyc/pan,GET,forex,1,none,1,1,1,1,28319,0.0832,1049,1061,0,python,3.11,CVE-2024-0397,5.9,orphaned,1,0,65.53
111,/v1/loans/{loanId}/schedule,GET,forex,1,http:basic|http:bearer,1,0,1,2,20066,0.0167,336,42,1,springboot,3.2.0,CVE-2024-22243,6.1,active,0,0,13.16
112,/v3/upi/pay,GET,cards,3,none,1,1,1,5,180,0.0276,656,566,1,nodejs,20.11,CVE-2024-21892,7.8,deprecated,0,0,37.67
113,/v1/upi/mandate,GET,aa-bridge,1,none,1,0,1,2,10825,0.0657,678,60,0,dotnet,6.0,CVE-2024-21386,7.5,orphaned,1,0,80.54
114,/v1/upi/vpa/verify,GET,audit,1,http:bearer,1,0,1,2,43230,0.0196,293,2,1,golang,1.19,CVE-2023-29406,6.5,active,0,0,12.84
115,/v1/cards/issue,GET,wealth,1,none,1,0,1,1,6267,0.0621,1135,396,0,python,3.7,CVE-2023-24329,7.5,orphaned,1,0,72.95
116,/internal/transfers/imps,GET,payments,1,none,0,0,0,1,3896,0.4126,592,43,0,python,3.7,CVE-2023-24329,7.5,orphaned,0,1,91.76
117,/v1/kyc/video,GET,audit,1,none,1,0,1,2,20485,0.0504,848,1364,0,springboot,2.5.0,CVE-2022-22965,9.8,orphaned,1,0,75.77
118,/v3/accounts/{accountId}/balance,GET,aa-bridge,3,apiKey,1,0,1,2,19333,0.0199,86,27,1,dotnet,8.0,CVE-2024-30045,6.8,active,0,0,20.38
119,/v1/forex/quote,GET,kyc,1,http:bearer,1,0,1,2,20125,0.0181,63,20,1,nodejs,18.19,CVE-2024-22019,7.5,active,0,0,19.68
120,/v3/accounts/{accountId}/balance,GET,payments,3,oauth2:implicit,1,0,1,0,16503,0.0106,329,43,1,springboot,3.2.0,CVE-2024-22243,6.1,active,0,0,17.01
121,/v1/rd/book,GET,cards,1,http:basic|http:bearer,1,0,1,1,41113,0.0137,294,58,1,nodejs,14.21,CVE-2023-30581,8.8,active,0,0,14.18
122,/v1/beneficiaries,GET,payments,1,none,1,1,1,7,140,0.0333,576,474,1,springboot,3.2.0,CVE-2024-22243,6.1,deprecated,0,0,40.29
123,/v1/loans/{loanId}/repayment,GET,loans,1,oauth2:implicit,1,0,1,1,39007,0.006,257,44,1,nodejs,18.19,CVE-2024-22019,7.5,active,0,0,8.67
124,/internal/accounts/{accountId}/transactions,POST,loans,1,none,0,0,0,7,923,0.1949,1221,45,0,dotnet,6.0,CVE-2024-21386,7.5,orphaned,0,1,86.18
125,/internal/aa/fip/discover,GET,aa-bridge,1,none,0,0,0,6,2298,0.1032,1454,6,0,dotnet,6.0,CVE-2024-21386,7.5,orphaned,0,1,90.14
126,/internal/upi/pay,GET,aa-bridge,1,none,0,0,0,4,1935,0.3428,771,28,0,golang,1.19,CVE-2023-29406,6.5,orphaned,0,1,82.04
127,/v2/transfers/imps,GET,payments,2,none,1,1,1,2,25310,0.0871,1486,563,0,golang,1.21,CVE-2024-24784,6.5,orphaned,1,0,69.28
128,/v1/transfers/swift,GET,audit,1,none,1,0,1,0,21991,0.0492,469,549,0,nodejs,20.11,CVE-2024-21892,7.8,orphaned,1,0,73.56
129,/v1/kyc/verify,GET,kyc,1,oauth2:implicit,1,0,1,0,35850,0.0175,227,33,1,nodejs,18.19,CVE-2024-22019,7.5,active,0,0,13.51
130,/v2/upi/pay,GET,notifications,2,oauth2:implicit,1,0,1,1,82,0.0149,213,51,1,dotnet,8.0,CVE-2024-30045,6.8,active,0,0,6.95
131,/v1/forex/quote,GET,core-banking,1,none,1,1,1,2,107,0.0984,1341,1114,0,nodejs,18.19,CVE-2024-22019,7.5,orphaned,1,0,79.28
132,/v1/aa/data,GET,payments,1,apiKey,1,0,1,2,49587,0.0134,339,24,1,nodejs,20.11,CVE-2024-21892,7.8,active,0,0,11.06
133,/v1/aa/data,GET,notifications,1,none,1,0,1,67,3,0.2049,1349,1036,0,nodejs,14.21,CVE-2023-30581,8.8,orphaned,0,0,68.16
134,/v1/fd/book,GET,notifications,1,none,1,1,1,10,2609,0.0232,409,598,1,nodejs,18.19,CVE-2024-22019,7.5,deprecated,0,0,32.31
135,/internal/upi/collect,GET,wealth,1,none,0,0,0,1,846,0.1939,1150,17,0,nodejs,20.11,CVE-2024-21892,7.8,orphaned,0,1,91.28
136,/v1/forex/quote,GET,cards,1,none,1,0,1,76,53,0.1968,1688,681,0,golang,1.21,CVE-2024-24784,6.5,orphaned,0,0,53.77
137,/v1/aa/data,GET,core-banking,1,http:basic|http:bearer,1,0,1,1,40847,0.0082,183,2,1,nodejs,14.21,CVE-2023-30581,8.8,active,0,0,16.34
138,/v1/fd/book,GET,wealth,1,http:bearer,1,0,1,0,24268,0.002,391,23,1,golang,1.21,CVE-2024-24784,6.5,active,0,0,17.38
139,/v2/accounts/{accountId}/balance,GET,aa-bridge,2,apiKey,1,0,1,1,12939,0.0194,272,5,1,golang,1.21,CVE-2024-24784,6.5,active,0,0,7.67
140,/v1/kyc/pan,GET,notifications,1,http:bearer,1,0,1,1,16462,0.0198,329,401,1,nodejs,14.21,CVE-2023-30581,8.8,active,0,0,23.54
141,/v3/upi/pay,GET,audit,3,none,1,1,1,2,3092,0.0422,496,631,0,dotnet,8.0,CVE-2024-30045,6.8,orphaned,1,0,78.13
142,/v1/cards/{cardId}/freeze,GET,core-banking,1,none,1,0,1,10,16,0.0537,1817,852,0,springboot,2.5.0,CVE-2022-22965,9.8,orphaned,0,0,52.23
143,/v1/notifications/preferences,GET,aa-bridge,1,http:basic|http:bearer,1,0,1,0,8807,0.0148,309,7,1,python,3.9,CVE-2023-40217,5.3,active,0,0,12.19
144,/v1/rd/book,GET,kyc,1,none,1,0,1,2,22453,0.0287,1231,818,0,springboot,2.5.0,CVE-2022-22965,9.8,orphaned,1,0,80.23
145,/internal/upi/pay,GET,notifications,3,none,0,0,0,4,3802,0.3573,113,7,0,python,3.7,CVE-2023-24329,7.5,orphaned,0,1,93.27
146,/v1/beneficiaries,GET,notifications,1,oauth2:implicit,1,0,1,2,29569,0.0015,81,20,1,springboot,2.7.18,CVE-2023-20860,7.5,active,0,0,9.08
147,/v2/upi/pay,GET,forex,2,http:bearer,1,0,1,2,38862,0.011,206,24,1,python,3.11,CVE-2024-0397,5.9,active,0,0,5.88
148,/v2/transfers/imps,GET,notifications,2,oauth2:implicit,1,0,1,2,28693,0.002,399,7,1,golang,1.21,CVE-2024-24784,6.5,active,0,0,15.76
149,/v1/beneficiaries,GET,payments,1,http:bearer,1,0,1,0,27619,0.0068,272,25,1,springboot,2.7.18,CVE-2023-20860,7.5,active,0,0,17.01
150,/v1/aa/consent,GET,audit,1,apiKey,1,0,1,2,17204,0.0075,118,43,1,springboot,2.7.18,CVE-2023-20860,7.5,active,0,0,16.98
151,/v1/beneficiaries/{beneficiaryId},GET,core-banking,1,none,1,0,1,0,17151,0.0277,963,631,0,golang,1.19,CVE-2023-29406,6.5,orphaned,1,0,72.15
152,/v1/customers/{customerId}/preferences,GET,kyc,1,none,1,1,1,10,72,0.0205,781,613,1,dotnet,6.0,CVE-2024-21386,7.5,deprecated,0,0,33.55
153,/v1/customers/{customerId}/preferences,GET,wealth,1,http:basic|http:bearer,1,0,1,1,39848,0.0062,93,36,1,springboot,3.2.0,CVE-2024-22243,6.1,active,0,0,13.97
154,/v1/aa/fip/discover,GET,audit,1,oauth2:implicit,1,0,1,0,23445,0.0169,228,7,1,golang,1.19,CVE-2023-29406,6.5,active,0,0,15.21
155,/v2/upi/pay,GET,payments,2,none,1,0,1,2,28147,0.0855,1456,418,0,golang,1.21,CVE-2024-24784,6.5,orphaned,1,0,67.03
156,/v2/accounts/{accountId}/balance,GET,payments,2,oauth2:implicit,1,0,1,0,18409,0.0141,198,58,1,springboot,2.5.0,CVE-2022-22965,9.8,active,0,0,30.07
157,/v1/transfers/swift,GET,payments,1,none,1,1,1,2,24539,0.0521,490,27,0,python,3.7,CVE-2023-24329,7.5,orphaned,1,0,69.72
158,/v1/customers/{customerId}/preferences,GET,notifications,1,apiKey,1,0,1,1,89,0.0144,330,38,1,springboot,3.2.0,CVE-2024-22243,6.1,active,0,0,7.2
159,/v1/notifications/preferences,GET,notifications,1,none,1,0,1,41,56,0.2155,1194,1270,0,nodejs,14.21,CVE-2023-30581,8.8,orphaned,0,0,69.5
160,/v1/aa/fip/discover,GET,loans,1,none,1,1,1,0,14310,0.0544,780,1361,0,nodejs,18.19,CVE-2024-22019,7.5,orphaned,1,0,72.3
